product,store,date,sales
prod_1,store_1,2019-01-01,322.0
prod_1,store_1,2019-01-02,129.0
prod_1,store_1,2019-01-03,211.0
prod_1,store_1,2019-01-04,160.0
prod_1,store_1,2019-01-05,136.0
prod_1,store_1,2019-01-06,166.0
prod_1,store_1,2019-01-07,247.0
prod_1,store_1,2019-01-08,359.0
prod_1,store_1,2019-01-09,106.0
prod_1,store_1,2019-01-10,249.0
prod_1,store_1,2019-01-11,205.0
prod_1,store_1,2019-01-12,170.0
prod_1,store_1,2019-01-13,161.0
prod_1,store_1,2019-01-14,231.0
prod_1,store_1,2019-01-15,428.0
prod_1,store_1,2019-01-16,115.0
prod_1,store_1,2019-01-17,259.0
prod_1,store_1,2019-01-18,221.0
prod_1,store_1,2019-01-19,217.0
prod_1,store_1,2019-01-20,513.0
prod_1,store_1,2019-01-21,696.0
prod_1,store_1,2019-01-22,1065.0
prod_1,store_1,2019-01-23,278.0
prod_1,store_1,2019-01-24,566.0
prod_1,store_1,2019-01-25,433.0
prod_1,store_1,2019-01-26,448.0
prod_1,store_1,2019-01-27,439.0
prod_1,store_1,2019-01-28,640.0
prod_1,store_1,2019-01-29,862.0
prod_1,store_1,2019-01-30,245.0
prod_1,store_1,2019-01-31,406.0
prod_1,store_1,2019-02-01,356.0
prod_1,store_1,2019-02-02,289.0
prod_1,store_1,2019-02-03,171.0
prod_1,store_1,2019-02-04,219.0
prod_1,store_1,2019-02-05,315.0
prod_1,store_1,2019-02-06,305.0
prod_1,store_1,2019-02-07,246.0
prod_1,store_1,2019-02-08,225.0
prod_1,store_1,2019-02-09,196.0
prod_1,store_1,2019-02-10,236.0
prod_1,store_1,2019-02-11,150.0
prod_1,store_1,2019-02-12,326.0
prod_1,store_1,2019-02-13,145.0
prod_1,store_1,2019-02-14,293.0
prod_1,store_1,2019-02-15,227.0
prod_1,store_1,2019-02-16,245.0
prod_1,store_1,2019-02-17,448.0
prod_1,store_1,2019-02-18,491.0
prod_1,store_1,2019-02-19,850.0
prod_1,store_1,2019-02-20,441.0
prod_1,store_1,2019-02-21,534.0
prod_1,store_1,2019-02-22,449.0
prod_1,store_1,2019-02-23,491.0
prod_1,store_1,2019-02-24,366.0
prod_1,store_1,2019-02-25,393.0
prod_1,store_1,2019-02-26,587.0
prod_1,store_1,2019-02-27,542.0
prod_1,store_1,2019-02-28,523.0
prod_1,store_1,2019-03-01,250.0
prod_1,store_1,2019-03-02,0.0
prod_1,store_1,2019-03-03,378.0
prod_1,store_1,2019-03-04,359.0
prod_1,store_1,2019-03-05,454.0
prod_1,store_1,2019-03-06,441.0
prod_1,store_1,2019-03-07,434.0
prod_1,store_1,2019-03-08,245.0
prod_1,store_1,2019-03-09,0.0
prod_1,store_1,2019-03-10,309.0
prod_1,store_1,2019-03-11,284.0
prod_1,store_1,2019-03-12,278.0
prod_1,store_1,2019-03-13,237.0
prod_1,store_1,2019-03-14,0.0
prod_1,store_1,2019-03-15,312.0
prod_1,store_1,2019-03-16,213.0
prod_1,store_1,2019-03-17,189.0
prod_1,store_1,2019-03-18,264.0
prod_1,store_1,2019-03-19,388.0
prod_1,store_1,2019-03-20,185.0
prod_1,store_1,2019-03-21,230.0
prod_1,store_1,2019-03-22,218.0
prod_1,store_1,2019-03-23,189.0
prod_1,store_1,2019-03-24,386.0
prod_1,store_1,2019-03-25,597.0
prod_1,store_1,2019-03-26,1108.0
prod_1,store_1,2019-03-27,283.0
prod_1,store_1,2019-03-28,497.0
prod_1,store_1,2019-03-29,440.0
prod_1,store_1,2019-03-30,368.0
prod_1,store_1,2019-03-31,410.0
prod_1,store_1,2019-04-01,538.0
prod_1,store_1,2019-04-02,933.0
prod_1,store_1,2019-04-03,205.0
prod_1,store_1,2019-04-04,363.0
prod_1,store_1,2019-04-05,343.0
prod_1,store_1,2019-04-06,204.0
prod_1,store_1,2019-04-07,182.0
prod_1,store_1,2019-04-08,225.0
prod_1,store_1,2019-04-09,412.0
prod_1,store_1,2019-04-10,118.0
prod_1,store_1,2019-04-11,252.0
prod_1,store_1,2019-04-12,197.0
prod_1,store_1,2019-04-13,145.0
prod_1,store_1,2019-04-14,161.0
prod_1,store_1,2019-04-15,225.0
prod_1,store_1,2019-04-16,341.0
prod_1,store_1,2019-04-17,86.0
prod_1,store_1,2019-04-18,181.0
prod_1,store_1,2019-04-19,189.0
prod_1,store_1,2019-04-20,142.0
prod_1,store_1,2019-04-21,194.0
prod_1,store_1,2019-04-22,215.0
